                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.77407,                 1.2017,                0.24368,                0.66757,                 1.1902,                 0.8069,                   0.83,                0.80461,                0.41489,                0.75388,                   0.78,                0.65197,                0.64717,                0.99291,                  2.216,                0.05881,                 1.9793,                 1.8763,              0.0012476,              0.0012476,              0.0012476
                     40,                0.77224,                 1.2695,                0.24907,                0.69148,                 1.1926,                0.89905,                0.89062,                0.89774,                0.46073,                0.78855,                0.78318,                0.67124,                0.66832,                0.78177,                 2.0831,                0.04239,                  1.779,                 1.5292,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74885,                 1.2511,                0.22454,                0.64705,                 1.1915,                0.83803,                   0.85,                0.80562,                0.37162,                0.78866,                    0.8,                0.64579,                0.64116,                 1.3589,                 2.0776,                0.04003,                 2.5321,                  2.329,               0.001208,               0.001208,               0.001208
                     42,                0.75225,                 1.2943,                0.25457,                0.64923,                 1.1847,                0.90114,                0.91153,                0.89897,                0.44919,                0.78258,                0.79187,                0.67531,                0.67294,                 1.1314,                 2.0828,                0.03697,                 2.1847,                 2.0502,              0.0011882,              0.0011882,              0.0011882
                     43,                0.76443,                 1.2811,                0.25298,                0.65242,                 1.1898,                0.86831,                   0.88,                0.84526,                0.44864,                0.78931,                    0.8,                0.67491,                0.67058,                 1.0236,                 2.0658,                0.04296,                 2.5934,                 1.8827,              0.0011684,              0.0011684,              0.0011684
                     44,                0.75864,                 1.2086,                0.25004,                0.63568,                 1.1946,                0.91075,                   0.95,                0.92625,                0.47114,                0.76656,                    0.8,                0.66376,                0.65853,                 0.8062,                 2.0886,                0.07743,                 1.8629,                 1.5659,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71745,                 1.1481,                0.24008,                0.65458,                 1.1643,                0.89058,                   0.93,                0.89802,                0.47634,                0.76538,                    0.8,                0.65455,                0.65319,                0.73213,                 2.0697,                0.03973,                 2.0707,                 1.5017,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71983,                 1.1957,                0.22844,                0.61846,                 1.1544,                0.92893,                0.91493,                0.91393,                 0.4877,                0.79354,                   0.79,                0.67661,                0.67364,                 0.9487,                 2.1553,                0.08209,                 2.3153,                 1.8997,               0.001109,               0.001109,               0.001109
                     47,                0.72926,                 1.3252,                0.24702,                0.62202,                 1.1678,                0.83155,                   0.87,                0.83929,                0.42218,                0.78154,                0.78705,                0.66728,                0.66425,                 1.3282,                 2.0676,                0.05125,                 2.5553,                 2.3845,              0.0010892,              0.0010892,              0.0010892
                     48,                0.72144,                 1.2423,                0.23733,                0.62159,                 1.1676,                 0.8758,                   0.91,                0.89055,                0.42122,                0.76007,                0.79196,                0.66749,                0.66447,                 1.3373,                 2.0714,                0.04363,                 2.2142,                 2.2934,              0.0010694,              0.0010694,              0.0010694
