                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.78304,                 1.2592,                0.26438,                0.62415,                 1.3679,                0.87451,                   0.88,                0.84923,                 0.3626,                0.79954,                    0.8,                 0.6686,                 0.6609,                 1.5966,                 1.8814,                0.05734,                  1.939,                 2.7069,               0.001406,               0.001406,               0.001406
                     32,                0.81847,                 1.4482,                0.26106,                0.61342,                 1.3999,                0.88222,                    0.9,                0.88564,                 0.3077,                0.77674,                   0.77,                0.66046,                0.65576,                 1.9397,                  1.865,                0.06103,                 1.6344,                 3.2388,              0.0013862,              0.0013862,              0.0013862
                     33,                0.81531,                 1.3475,                0.26123,                0.61667,                 1.3901,                0.91086,                0.91961,                0.89783,                 0.2904,                0.78213,                0.78979,                0.69124,                0.68716,                 2.6943,                  1.801,                0.05036,                 1.2992,                 4.1835,              0.0013664,              0.0013664,              0.0013664
                     34,                0.79627,                 1.1187,                 0.2449,                0.61234,                 1.3771,                0.92062,                0.92777,                0.90138,                0.34712,                0.79201,                0.79968,                0.67135,                0.66529,                 2.0455,                 1.8378,                0.04653,                 1.7462,                 3.3378,              0.0013466,              0.0013466,              0.0013466
                     35,                0.76904,                 1.3464,                0.29358,                0.57348,                 1.3504,                0.85574,                   0.89,                0.84669,                 0.3802,                0.76855,                    0.8,                0.67145,                0.66711,                 1.3129,                  1.962,                0.08795,                 2.0178,                 2.4845,              0.0013268,              0.0013268,              0.0013268
                     36,                0.77222,                 1.4763,                0.26718,                0.59171,                  1.366,                0.90966,                   0.91,                0.85524,                 0.2101,                0.79938,                    0.8,                0.68499,                0.68043,                 2.8238,                 1.8279,                0.03921,                 1.2126,                 4.6293,               0.001307,               0.001307,               0.001307
                     37,                0.77955,                 1.3127,                0.25512,                0.59873,                 1.3585,                0.87713,                   0.87,                 0.8374,                 0.2939,                0.79718,                   0.77,                0.67113,                0.66539,                 2.0548,                 1.8961,                0.05201,                 1.7318,                 3.5416,              0.0012872,              0.0012872,              0.0012872
                     38,                0.77255,                 1.2921,                0.25843,                0.58356,                 1.3448,                0.82688,                0.85975,                0.82543,                0.38891,                0.76723,                   0.77,                0.66512,                0.66239,                 1.1812,                 1.8568,                0.05618,                  1.599,                 2.2108,              0.0012674,              0.0012674,              0.0012674
                     39,                0.76443,                 1.2266,                0.23407,                 0.5844,                 1.3476,                0.85483,                   0.91,                0.86564,                0.34034,                0.74822,                    0.8,                0.66435,                0.66123,                 1.9971,                 1.8432,                0.07914,                 1.6078,                 3.2157,              0.0012476,              0.0012476,              0.0012476
                     40,                0.76875,                 1.1048,                0.25973,                0.58805,                 1.3629,                0.86438,                    0.9,                0.83711,                0.24877,                 0.7625,                    0.8,                0.65108,                0.64245,                 2.3863,                 1.8155,                0.04607,                 1.3547,                  3.866,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74463,                 1.3072,                0.25259,                0.54615,                 1.3241,                0.91256,                   0.92,                0.88253,                0.23384,                0.78348,                   0.79,                0.66412,                0.65956,                  2.778,                  1.805,                0.03978,                 1.2404,                 4.1886,               0.001208,               0.001208,               0.001208
                     42,                0.73792,                 1.2315,                0.25614,                0.55826,                 1.3194,                0.84854,                0.84035,                0.85182,                0.33722,                0.76434,                   0.71,                0.65587,                0.64535,                 1.4929,                 2.1307,                0.08702,                 1.8101,                 2.6832,              0.0011882,              0.0011882,              0.0011882
                     43,                0.76402,                 1.3161,                0.25482,                0.58115,                 1.3464,                0.87273,                0.89143,                0.86483,                0.29565,                0.77454,                0.79012,                0.66442,                0.66153,                 1.9021,                 1.8462,                0.06774,                 1.8262,                 3.2219,              0.0011684,              0.0011684,              0.0011684
                     44,                0.76021,                 1.1031,                0.25955,                 0.5645,                 1.3557,                0.84084,                0.84532,                0.80017,                0.30274,                0.79111,                0.79532,                0.67437,                0.67131,                 2.2996,                 1.8244,                0.04913,                 1.7505,                 3.9493,              0.0011486,              0.0011486,              0.0011486
                     45,                0.74712,                 1.1994,                0.23916,                0.55786,                  1.327,                 0.8909,                   0.91,                0.89034,                0.34888,                0.78387,                    0.8,                0.65856,                0.65334,                 1.5134,                 1.8647,                0.06537,                  1.797,                 2.6532,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71601,                 1.1815,                0.23887,                0.55689,                 1.3066,                0.86962,                   0.89,                0.83145,                0.21714,                0.78155,                    0.8,                0.67526,                0.67238,                  2.855,                 1.7897,                0.03604,                 1.2091,                 4.4828,               0.001109,               0.001109,               0.001109
                     47,                0.74627,                 1.2852,                0.25271,                0.55194,                   1.33,                0.86127,                0.86913,                0.83406,                0.28319,                0.77818,                    0.8,                0.66168,                0.65932,                 2.4296,                  1.799,                0.04663,                  1.823,                  4.031,              0.0010892,              0.0010892,              0.0010892
                     48,                0.74569,                 1.1822,                0.26254,                0.55413,                 1.3307,                0.84595,                0.87862,                0.85584,                0.31623,                0.77616,                   0.77,                 0.6787,                0.67418,                 2.4437,                 1.8399,                0.03435,                 1.2336,                 3.8395,              0.0010694,              0.0010694,              0.0010694
                     49,                0.72865,                 1.1189,                0.24439,                0.55301,                 1.3115,                0.90091,                   0.92,                0.88713,                 0.2815,                0.79055,                0.79262,                0.69334,                0.68899,                 2.4232,                 1.8072,                0.03666,                 1.4416,                 3.7535,              0.0010496,              0.0010496,              0.0010496
                     50,                0.72408,                 1.3054,                0.24852,                0.53219,                 1.3136,                0.85846,                 0.8491,                 0.8252,                0.31385,                0.79803,                0.79024,                0.67028,                0.66736,                 2.1436,                 1.8128,                0.05166,                 1.6459,                 3.3396,              0.0010298,              0.0010298,              0.0010298
                     51,                0.71827,                 1.2323,                0.25956,                0.55173,                 1.3068,                0.93024,                0.93347,                0.92261,                 0.3027,                0.79041,                0.79195,                0.66828,                0.66526,                 2.2074,                 1.8203,                0.04199,                 1.5138,                 3.5659,                0.00101,                0.00101,                0.00101
                     52,                0.72133,                 1.1848,                0.24839,                0.53838,                 1.3118,                0.88939,                0.88449,                0.88275,                0.35884,                0.77538,                   0.78,                0.67165,                0.66874,                 2.0954,                 1.8238,                0.04782,                 1.5554,                 3.5366,              0.0009902,              0.0009902,              0.0009902
                     53,                0.73056,                  1.366,                0.25436,                0.53948,                 1.3171,                0.93266,                   0.91,                0.91958,                0.33176,                0.79053,                   0.77,                0.67904,                0.67543,                 2.4472,                 1.8326,                0.05362,                 1.3385,                 3.9451,              0.0009704,              0.0009704,              0.0009704
                     54,                0.70256,                 1.2301,                0.24139,                0.52499,                 1.3051,                0.86358,                0.88629,                0.84944,                0.31392,                0.78708,                   0.79,                0.69038,                0.68766,                 2.3782,                 1.8105,                0.05251,                 1.4723,                 3.9869,              0.0009506,              0.0009506,              0.0009506
                     55,                0.72176,                 1.2305,                0.25865,                0.54081,                 1.3113,                0.92986,                0.92806,                0.92973,                0.37182,                0.79961,                0.79806,                0.67941,                0.67638,                 1.8571,                 1.8412,                0.05543,                 1.8142,                 3.1567,              0.0009308,              0.0009308,              0.0009308
