                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.66796,                  1.245,                0.25217,                0.53008,                 1.1001,                0.83026,                0.83157,                0.84744,                0.55536,                0.78004,                   0.78,                0.68793,                0.68641,                0.58589,                 2.1446,                0.05192,                 1.3027,                 1.2986,              0.0010694,              0.0010694,              0.0010694
                     49,                0.64722,                 1.3391,                0.25405,                0.51719,                 1.0947,                0.90766,                   0.92,                0.89308,                 0.3725,                0.78863,                    0.8,                0.66458,                0.66032,                 1.4669,                 2.1399,                0.06215,                 2.1706,                 2.5803,              0.0010496,              0.0010496,              0.0010496
                     50,                0.67194,                  1.147,                0.24783,                0.52953,                 1.1071,                0.87005,                    0.9,                0.88436,                0.40635,                0.76345,                   0.79,                0.65978,                 0.6567,                 1.3702,                 2.1253,                0.04938,                 2.0421,                 2.3856,              0.0010298,              0.0010298,              0.0010298
                     51,                0.64022,                   1.38,                0.26374,                 0.5207,                 1.0936,                0.87235,                   0.89,                0.87265,                0.43427,                0.76722,                   0.79,                0.67747,                0.67364,                 1.3196,                 2.1284,                0.05547,                 2.2381,                 2.3705,                0.00101,                0.00101,                0.00101
                     52,                0.64827,                 1.2813,                 0.2495,                0.51463,                 1.0851,                0.89339,                0.92183,                0.91041,                0.42164,                0.76915,                0.79964,                0.67729,                0.67501,                 1.2663,                 2.1214,                0.05571,                 1.9844,                 2.3375,              0.0009902,              0.0009902,              0.0009902
                     53,                0.64846,                 1.3395,                0.26823,                  0.515,                 1.0916,                0.86627,                0.90691,                 0.8776,                0.41188,                0.76134,                0.79755,                0.67113,                0.66822,                 1.2377,                 2.1243,                0.05423,                 2.2269,                 2.3552,              0.0009704,              0.0009704,              0.0009704
                     54,                0.65761,                 1.2402,                0.25551,                0.53432,                 1.0961,                0.88708,                    0.9,                0.86339,                 0.3063,                0.78851,                    0.8,                0.65494,                0.65166,                 1.3779,                 2.1411,                0.05557,                 1.8888,                 2.4304,              0.0009506,              0.0009506,              0.0009506
                     55,                0.66293,                 1.0198,                0.24625,                0.51349,                 1.0991,                0.88378,                0.91255,                0.90358,                0.51269,                0.76824,                    0.8,                0.66963,                0.66647,                0.65979,                 2.1743,                 0.0468,                 1.6397,                 1.4403,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66016,                 1.2281,                0.24663,                0.51102,                 1.0982,                0.85781,                0.90497,                0.87478,                 0.3683,                 0.7537,                0.79566,                0.66077,                0.65898,                  1.395,                 2.1226,                0.04554,                 1.6923,                 2.5205,               0.000911,               0.000911,               0.000911
                     57,                0.63994,                 1.2103,                0.24795,                0.50109,                 1.0836,                0.89971,                0.89708,                0.87253,                0.41646,                0.79951,                0.79756,                 0.6837,                0.68096,                 1.4803,                 2.1352,                0.04329,                 2.0127,                 2.6595,              0.0008912,              0.0008912,              0.0008912
                     58,                0.63873,                 1.1437,                0.24595,                0.50103,                 1.0902,                0.88142,                    0.9,                0.88686,                0.28514,                0.77138,                   0.79,                0.67382,                0.67109,                  2.069,                 2.1172,                0.04152,                 1.4956,                 3.4906,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64198,                 1.2152,                0.23455,                0.50968,                 1.0962,                0.89927,                   0.92,                 0.8662,                0.28805,                0.78149,                    0.8,                0.67863,                0.67562,                 1.9539,                 2.1092,                0.03951,                 1.7013,                 3.3999,              0.0008516,              0.0008516,              0.0008516
                     60,                0.63216,                 1.3145,                0.26085,                0.50542,                 1.0942,                0.86682,                   0.88,                0.83778,                 0.3627,                0.78792,                    0.8,                0.66113,                 0.6589,                 1.3856,                 2.1079,                0.04375,                 2.2847,                 2.5318,              0.0008318,              0.0008318,              0.0008318
                     61,                0.63759,                 1.1948,                0.23477,                0.51261,                 1.0863,                0.90975,                0.90723,                0.89122,                0.48174,                0.78957,                0.78799,                0.68339,                0.67911,                0.69516,                 2.1457,                0.04399,                 2.1204,                 1.4856,               0.000812,               0.000812,               0.000812
                     62,                0.61573,                 1.0828,                0.22729,                0.48835,                 1.0728,                0.87945,                0.87546,                0.88206,                0.52464,                0.80244,                0.77176,                0.70514,                0.70061,                0.67445,                   2.12,                0.04284,                 1.5691,                 1.4163,              0.0007922,              0.0007922,              0.0007922
                     63,                0.62512,                 1.2456,                0.23353,                0.50289,                 1.0975,                0.85414,                   0.88,                0.84232,                0.42028,                0.81296,                    0.8,                 0.6898,                0.68735,                0.92282,                 2.1432,                0.04699,                 1.9957,                 1.7682,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.6211,                0.93715,                 0.2296,                0.49184,                 1.0751,                0.86497,                0.89683,                0.88214,                0.46369,                0.79678,                   0.78,                0.68542,                0.68392,                0.69486,                 2.1506,                0.04226,                 1.9959,                 1.3547,              0.0007526,              0.0007526,              0.0007526
                     65,                0.59989,                 1.1184,                0.25399,                0.47441,                 1.0694,                0.84668,                   0.86,                0.83089,                 0.4671,                0.77565,                   0.79,                0.67176,                0.67019,                0.78662,                 2.1261,                0.04536,                 2.2083,                 1.5064,              0.0007328,              0.0007328,              0.0007328
                     66,                0.64042,                 1.1175,                 0.2374,                0.47381,                 1.0712,                0.87983,                0.87859,                0.83449,                 0.2958,                0.78974,                0.78878,                0.65436,                0.65115,                 1.7175,                 2.1028,                0.04282,                 1.8263,                 3.0341,               0.000713,               0.000713,               0.000713
                     67,                0.61391,                 1.0248,                0.23655,                0.47393,                 1.0674,                0.90138,                0.91401,                0.89654,                0.42233,                0.78322,                0.79488,                0.68098,                 0.6791,                 1.4675,                 2.0923,                0.04164,                 1.7677,                 2.5918,              0.0006932,              0.0006932,              0.0006932
                     68,                0.61613,                 1.1823,                0.22181,                0.47314,                 1.0807,                0.91036,                0.91399,                0.89993,                0.42353,                0.79178,                0.79855,                0.68518,                0.68247,                 1.5472,                 2.1036,                0.03987,                 1.9016,                  2.649,              0.0006734,              0.0006734,              0.0006734
                     69,                0.59433,                 1.0826,                0.22817,                0.46201,                 1.0558,                0.86736,                   0.92,                0.88781,                0.50377,                0.78303,                0.79397,                0.70052,                0.69909,                0.83481,                 2.1508,                 0.0387,                 2.1087,                 1.7115,              0.0006536,              0.0006536,              0.0006536
                     70,                0.58997,                 1.2461,                0.24608,                0.47252,                 1.0694,                0.91965,                   0.91,                0.91814,                0.49948,                0.79292,                   0.78,                0.68978,                0.68844,                 1.2024,                  2.119,                0.04049,                 1.7162,                 2.2266,              0.0006338,              0.0006338,              0.0006338
                     71,                0.59475,                 1.1902,                0.24493,                0.46127,                 1.0634,                0.86384,                   0.87,                0.87693,                0.52566,                 0.7795,                0.77773,                0.70866,                0.70539,                0.97476,                 2.1277,                0.04635,                   1.78,                 1.8897,               0.000614,               0.000614,               0.000614
                     72,                0.60146,                 1.0562,                 0.2329,                0.47079,                 1.0751,                0.89941,                   0.91,                0.88834,                0.45694,                0.79185,                0.79891,                 0.7011,                0.69919,                 1.1537,                 2.1035,                0.04072,                 2.0787,                 2.1582,              0.0005942,              0.0005942,              0.0005942
                     73,                0.59315,                 1.2402,                0.23694,                 0.4526,                 1.0553,                0.88813,                    0.9,                 0.8458,                 0.3202,                0.78932,                    0.8,                0.67295,                0.67116,                  1.841,                 2.0972,                0.04051,                 1.2728,                 3.2088,              0.0005744,              0.0005744,              0.0005744
                     74,                0.57787,                 1.0177,                0.23321,                0.44931,                  1.058,                0.89182,                0.90686,                0.90423,                0.43855,                0.77547,                0.79437,                0.68413,                 0.6826,                 1.1939,                 2.1077,                0.04584,                  1.832,                 2.2251,              0.0005546,              0.0005546,              0.0005546
                     75,                0.58792,                 1.1404,                0.24581,                 0.4497,                 1.0569,                0.89498,                    0.9,                0.88824,                0.39593,                 0.7863,                   0.79,                0.69869,                0.69673,                 1.7928,                  2.098,                 0.0452,                  1.637,                 3.2045,              0.0005348,              0.0005348,              0.0005348
                     76,                0.56993,                 1.2187,                0.25598,                0.41292,                 1.0496,                0.84226,                   0.87,                0.82919,                 0.4282,                0.77415,                    0.8,                0.70225,                0.70024,                 1.6062,                 2.0926,                0.04096,                 1.7822,                 2.8338,               0.000515,               0.000515,               0.000515
                     77,                0.56601,                0.93892,                0.23431,                0.40682,                 1.0464,                0.89681,                    0.9,                0.87801,                0.40555,                0.78705,                   0.79,                0.68621,                0.68409,                 1.4673,                 2.1055,                 0.0417,                 1.7961,                 2.6318,              0.0004952,              0.0004952,              0.0004952
