                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 0.7727,                  1.312,                0.28442,                0.65964,                  1.186,                0.81488,                   0.82,                0.76767,                0.43138,                0.79501,                    0.8,                0.67268,                0.66777,                0.85746,                 2.0758,                0.06951,                  2.493,                 1.5772,               0.001406,               0.001406,               0.001406
                     32,                0.72892,                 1.3621,                0.28661,                0.65794,                 1.1693,                0.77593,                   0.79,                0.75723,                0.33169,                0.76611,                   0.78,                 0.6652,                0.66044,                 1.9302,                 2.0454,                0.06079,                  2.204,                 2.9629,              0.0013862,              0.0013862,              0.0013862
                     33,                0.75657,                  1.243,                0.26867,                0.63454,                 1.1794,                0.85478,                   0.88,                0.84333,                0.44258,                0.76732,                0.79149,                 0.6785,                0.67526,                0.97051,                 2.0589,                0.05664,                 2.2207,                 1.7897,              0.0013664,              0.0013664,              0.0013664
                     34,                0.76147,                 1.3337,                0.27687,                0.63195,                 1.1757,                 0.7744,                   0.87,                 0.8101,                0.38248,                0.71087,                    0.8,                0.65542,                0.65076,                0.90489,                 2.0711,                0.06025,                  2.334,                 1.6404,              0.0013466,              0.0013466,              0.0013466
                     35,                0.73926,                 1.2921,                0.27498,                0.62757,                 1.1623,                0.80863,                   0.81,                 0.7654,                0.41922,                0.79928,                0.79645,                0.68008,                0.67715,                 1.2882,                 2.0516,                0.06762,                 2.5893,                 2.2686,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73777,                 1.4515,                0.26588,                0.61713,                 1.1639,                0.82677,                0.90685,                0.87114,                0.38607,                0.71775,                0.78834,                 0.6564,                0.65164,                 1.3982,                 2.1021,                0.09063,                 2.1663,                 2.6266,               0.001307,               0.001307,               0.001307
                     37,                 0.7592,                 1.3157,                0.25867,                0.62994,                 1.1918,                0.87327,                   0.89,                0.87736,                0.42043,                0.75902,                   0.78,                0.67308,                0.66967,                 1.2043,                 2.0444,                0.05524,                 1.8584,                 2.1287,              0.0012872,              0.0012872,              0.0012872
                     38,                0.72046,                 1.0526,                0.25493,                0.61696,                  1.155,                0.90038,                0.90383,                0.87416,                0.41157,                0.79088,                0.79423,                0.66317,                0.65858,                 1.0552,                  2.018,                0.03893,                  2.346,                 1.9575,              0.0012674,              0.0012674,              0.0012674
                     39,                0.71263,                 1.4094,                0.25509,                0.60022,                  1.153,                0.91657,                   0.91,                0.92317,                0.38734,                0.79202,                0.79973,                0.67915,                0.67536,                 1.8514,                 2.0429,                0.06087,                 1.8728,                 2.8696,              0.0012476,              0.0012476,              0.0012476
                     40,                0.72413,                 1.2009,                0.24181,                0.60939,                 1.1534,                0.86498,                    0.9,                0.90267,                0.47414,                0.73576,                   0.77,                0.67036,                 0.6664,                 1.0611,                 2.0732,                0.04624,                 1.7011,                  1.898,              0.0012278,              0.0012278,              0.0012278
                     41,                0.71913,                 1.2935,                  0.253,                0.60305,                 1.1476,                0.91994,                0.91923,                0.87084,                 0.3159,                0.79994,                0.79972,                0.65108,                0.64801,                0.94944,                 2.0492,                0.04017,                 2.6108,                 1.8924,               0.001208,               0.001208,               0.001208
                     42,                0.68907,                  1.384,                0.25032,                0.60206,                 1.1458,                0.87946,                0.87553,                 0.8749,                0.48333,                 0.7781,                0.77143,                0.67695,                0.66841,                 0.7405,                 2.0557,                0.04013,                 1.7261,                  1.532,              0.0011882,              0.0011882,              0.0011882
                     43,                0.69985,                 1.3912,                0.24716,                0.63269,                 1.1519,                0.89043,                0.89393,                0.86631,                0.40922,                0.78101,                0.78464,                0.65868,                0.65409,                0.82961,                 2.0518,                0.03869,                 2.3301,                 1.7725,              0.0011684,              0.0011684,              0.0011684
                     44,                0.70067,                  1.038,                0.25255,                0.59111,                  1.134,                 0.8685,                0.85859,                 0.8325,                0.35845,                0.79503,                   0.79,                0.66896,                0.66398,                 1.8617,                 2.0682,                0.04329,                  2.128,                 3.0981,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71301,                 1.2857,                0.25571,                0.59996,                 1.1413,                0.92124,                0.93579,                0.91892,                 0.4723,                0.77504,                    0.8,                 0.6769,                0.67513,                 1.0322,                 2.0326,                0.03935,                 1.8581,                 1.8265,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.6927,                 1.1349,                0.24609,                0.59743,                 1.1205,                0.89227,                    0.9,                0.84737,                0.28875,                0.79202,                    0.8,                0.65558,                0.65255,                 1.7754,                 2.0233,                0.05206,                 1.9287,                 3.0592,               0.001109,               0.001109,               0.001109
                     47,                0.72428,                 1.2618,                0.25615,                0.60648,                 1.1591,                 0.6671,                0.64127,                0.61439,                 0.1365,                0.59274,                 0.6113,                0.51404,                0.50175,                 2.8394,                 2.5407,                0.32744,                 1.6001,                 3.2941,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68401,                 1.1731,                0.25746,                0.58643,                 1.1315,                0.88886,                   0.91,                0.87712,                0.41243,                0.77033,                   0.79,                0.65308,                0.64973,                0.99871,                 2.0497,                0.04708,                 2.4126,                 1.9609,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68743,                 1.3919,                0.22808,                0.55144,                 1.1281,                 0.8998,                    0.9,                 0.8707,                0.40651,                0.79932,                    0.8,                0.68222,                0.67959,                 1.5034,                 2.0237,                0.03836,                   2.64,                  2.679,              0.0010496,              0.0010496,              0.0010496
                     50,                0.68866,                 1.1213,                0.25085,                0.60946,                  1.149,                0.89916,                0.89171,                0.88547,                0.45747,                0.77856,                0.77354,                0.66766,                0.66461,                 1.0914,                 2.0368,                0.03397,                 2.1782,                 1.9771,              0.0010298,              0.0010298,              0.0010298
                     51,                0.70849,                 1.2483,                0.24344,                0.60574,                 1.1417,                0.89338,                   0.89,                0.90293,                0.47493,                0.77462,                   0.77,                0.66522,                0.66109,                0.66863,                  2.097,                0.03104,                 1.9227,                 1.3947,                0.00101,                0.00101,                0.00101
                     52,                0.69687,                 1.3093,                 0.2341,                0.58443,                 1.1421,                0.84685,                   0.88,                0.86823,                0.46464,                0.74446,                   0.77,                0.66392,                0.66147,                0.65786,                  2.039,                 0.0305,                 1.3687,                 1.3303,              0.0009902,              0.0009902,              0.0009902
                     53,                0.68448,                  1.206,                0.25826,                0.58482,                 1.1258,                0.86311,                0.88278,                0.85102,                0.45758,                0.77575,                0.79565,                0.66381,                0.66069,                 0.8322,                 2.0409,                0.02963,                 1.9359,                 1.6611,              0.0009704,              0.0009704,              0.0009704
                     54,                0.69907,                 1.1974,                0.25083,                0.57355,                 1.1402,                0.85705,                   0.87,                0.89713,                0.48765,                0.74869,                   0.76,                0.66709,                0.66417,                0.90174,                 2.0493,                0.05022,                 2.0029,                 1.6613,              0.0009506,              0.0009506,              0.0009506
                     55,                0.69051,                 1.2647,                0.23904,                0.55508,                 1.1397,                 0.9211,                   0.92,                0.90772,                0.48287,                0.79003,                   0.79,                0.67176,                0.66883,                 1.0691,                 2.0557,                0.03527,                 2.2824,                  1.931,              0.0009308,              0.0009308,              0.0009308
                     56,                0.68758,                 1.0444,                0.22536,                0.56513,                 1.1245,                0.90801,                0.88834,                0.87967,                0.46949,                0.77345,                    0.8,                0.67597,                0.67165,                 1.1187,                 2.0226,                0.03094,                 2.2974,                 1.9372,               0.000911,               0.000911,               0.000911
                     57,                0.67913,                 1.2152,                0.24184,                0.57428,                 1.1246,                0.83148,                   0.89,                0.85039,                0.48894,                0.74651,                    0.8,                0.65501,                0.65074,                0.58778,                 2.0478,                0.03741,                 1.9321,                 1.3334,              0.0008912,              0.0008912,              0.0008912
                     58,                0.68457,                 1.3014,                0.22968,                0.56386,                 1.1265,                0.90467,                0.85416,                0.91283,                0.53459,                0.78832,                0.74486,                0.69374,                0.69068,                0.75842,                 2.0499,                0.03411,                 1.5832,                 1.4587,              0.0008714,              0.0008714,              0.0008714
                     59,                0.68122,                 1.1963,                0.22954,                0.54109,                 1.1286,                0.89291,                   0.91,                0.93456,                0.55272,                0.79525,                 0.7768,                0.68118,                0.67854,                0.79766,                 2.0157,                0.04362,                 1.6903,                 1.5514,              0.0008516,              0.0008516,              0.0008516
                     60,                0.66397,                 1.1288,                 0.2298,                0.55184,                 1.1072,                 0.9038,                   0.92,                0.90201,                0.46489,                0.77673,                   0.79,                0.67418,                0.67171,                 1.0203,                 2.0185,                0.03424,                 2.1114,                 1.9659,              0.0008318,              0.0008318,              0.0008318
                     61,                0.66804,                  1.161,                0.21851,                0.55269,                  1.113,                0.87499,                   0.91,                0.87051,                0.47343,                0.76847,                 0.7966,                0.67516,                0.67358,                0.90635,                 2.0305,                0.03146,                 2.1671,                 1.8202,               0.000812,               0.000812,               0.000812
                     62,                 0.6289,                 1.3212,                0.24348,                0.53504,                  1.093,                0.87647,                    0.9,                0.88911,                0.51562,                0.75733,                   0.78,                0.69836,                0.69614,                0.69221,                 2.0178,                0.02716,                 1.9517,                 1.4455,              0.0007922,              0.0007922,              0.0007922
                     63,                0.65895,                 1.1408,                0.23391,                0.54128,                 1.1092,                0.86847,                0.92442,                 0.8918,                  0.455,                0.74638,                0.79461,                0.68636,                0.68451,                0.86706,                 2.0399,                0.03133,                 1.9114,                 1.6044,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.6528,                 1.1605,                0.23726,                0.53217,                 1.0956,                0.87441,                 0.9051,                0.90412,                0.52225,                0.75123,                   0.79,                0.66188,                0.65783,                0.81767,                  2.027,                0.03989,                 1.6881,                 1.6092,              0.0007526,              0.0007526,              0.0007526
                     65,                0.65619,                 1.1756,                0.23883,                0.52979,                 1.1119,                0.90797,                0.88793,                0.90055,                0.51296,                0.78548,                0.76896,                0.68703,                0.68448,                0.60124,                 2.0173,                0.02802,                 2.0674,                  1.312,              0.0007328,              0.0007328,              0.0007328
                     66,                0.65598,                 1.3087,                  0.238,                 0.5118,                 1.0963,                0.85864,                   0.88,                0.84971,                0.50457,                0.77962,                   0.79,                0.68933,                0.68784,                0.71511,                 2.0027,                0.03219,                   2.19,                  1.525,               0.000713,               0.000713,               0.000713
                     67,                0.65149,                 1.1938,                0.23074,                0.52546,                  1.104,                0.93993,                   0.95,                0.93415,                0.51285,                0.79142,                    0.8,                 0.6865,                 0.6842,                 1.0002,                 2.0163,                0.03192,                 2.3295,                 1.9242,              0.0006932,              0.0006932,              0.0006932
                     68,                0.65561,                 1.1955,                0.23563,                0.52475,                 1.1096,                  0.906,                   0.91,                0.89927,                0.50136,                0.78576,                   0.79,                0.68472,                0.68193,                0.93981,                 2.0176,                0.03234,                 2.2383,                 1.7471,              0.0006734,              0.0006734,              0.0006734
                     69,                0.63619,                 1.0852,                0.23412,                0.49928,                 1.1102,                0.90706,                    0.9,                0.90904,                0.46113,                0.78091,                   0.78,                0.67379,                0.67138,                 1.1591,                  2.001,                0.03356,                 2.0158,                 2.2024,              0.0006536,              0.0006536,              0.0006536
                     70,                0.61339,                 1.1363,                0.25264,                0.50704,                 1.0938,                 0.8912,                   0.91,                0.89955,                0.48352,                0.77331,                   0.79,                 0.6717,                0.66863,                0.86204,                 2.0072,                0.03382,                 2.2947,                 1.7505,              0.0006338,              0.0006338,              0.0006338
                     71,                0.62885,                 1.1155,                0.23668,                0.49488,                 1.0919,                0.92992,                0.92881,                0.91387,                 0.4553,                0.79989,                0.79943,                0.68338,                0.68073,                 1.2775,                 2.0252,                0.03416,                 2.0429,                  2.276,               0.000614,               0.000614,               0.000614
                     72,                0.63717,                 1.0796,                0.22749,                0.50927,                 1.0973,                0.85047,                   0.88,                0.89766,                0.50217,                0.74225,                0.77755,                0.67903,                0.67618,                0.70671,                 2.0024,                0.02891,                 2.0349,                 1.4458,              0.0005942,              0.0005942,              0.0005942
                     73,                0.61936,                 1.1406,                 0.2189,                0.51049,                 1.0941,                0.89284,                0.91655,                0.90571,                0.53037,                0.77608,                    0.8,                0.68456,                0.68179,                0.75271,                 2.0253,                0.03035,                 1.7716,                 1.5469,              0.0005744,              0.0005744,              0.0005744
                     74,                0.61352,                  1.111,                0.22699,                 0.4949,                  1.084,                0.84893,                    0.9,                0.89249,                0.51115,                 0.7451,                0.78924,                0.69221,                0.68947,                0.70049,                 2.0163,                0.02887,                 1.8395,                 1.4845,              0.0005546,              0.0005546,              0.0005546
                     75,                0.61229,                 1.0748,                0.23134,                0.49184,                 1.0812,                 0.8997,                   0.91,                0.88631,                0.48268,                0.78959,                    0.8,                0.68345,                0.68081,                0.89133,                 2.0032,                0.03435,                 2.3167,                 1.8195,              0.0005348,              0.0005348,              0.0005348
                     76,                0.63456,                 1.2094,                0.23419,                0.50189,                 1.0905,                0.89813,                   0.88,                0.89342,                0.49892,                0.77556,                0.76023,                0.68844,                0.68561,                0.89438,                 1.9982,                0.03452,                 2.0191,                 1.7478,               0.000515,               0.000515,               0.000515
